iter	Passed	Remaining
251	4943	14672
252	4952	14623
253	4956	14557
254	4967	14513
255	4974	14456
256	4983	14407
257	5119	14724
258	5123	14658
259	5133	14610
260	5137	14546
261	5148	14501
262	5153	14440
263	5163	14396
264	5264	14600
265	5268	14536
266	5276	14486
267	5281	14426
268	5292	14381
269	5298	14326
270	5302	14264
271	5509	14746
272	5514	14685
273	5530	14653
274	5540	14606
275	5546	14550
276	5553	14494
277	5689	14775
278	5694	14715
279	5709	14681
280	5713	14618
281	5724	14574
282	5728	14512
283	5738	14467
284	5773	14485
285	5779	14428
286	5785	14372
287	5799	14338
288	5804	14279
289	5808	14219
290	5889	14350
291	5894	14291
292	5904	14247
293	5908	14188
294	5921	14150
295	5927	14097
296	6017	14244
297	6027	14199
298	6031	14140
299	6041	14097
300	6045	14039
301	6056	13999
302	6064	13949
303	6139	14057
304	6143	13999
305	6148	13943
306	6178	13945
307	6181	13888
308	6279	14043
309	6291	14002
310	6296	13949
311	6307	13908
312	6311	13852
313	6320	13809
314	6325	13754
315	6429	13917
316	6440	13876
317	6444	13821
318	6475	13823
319	6487	13786
320	6506	13762
321	6518	13724
322	6593	13820
323	6606	13784
324	6617	13743
325	6621	13689
326	6624	13634
327	6635	13594
328	6638	13538
329	6686	13575
330	6690	13523
331	6703	13487
332	6707	13435
333	6711	13382
334	6721	13342
335	6725	13290
336	6776	13331
337	6791	13300
338	6800	13260
339	6806	13213
340	6815	13172
341	6902	13280
342	6916	13247
343	6920	13196
344	6932	13162
345	6936	13111
346	6940	13060
347	6972	13062
348	7063	13175
349	7069	13128
350	7079	13090
351	7114	13097
352	7119	13049
353	7123	13000
354	7156	13002
355	7170	12972
356	7182	12935
357	7254	13009
358	7270	12980
359	7288	12958
360	7300	12923
361	7305	12874
362	7315	12837
363	7319	12788
364	7481	13015
365	7495	12984
366	7502	12940
367	7513	12904
368	7517	12855
369	7527	12816
370	7615	12911
371	7619	12863
372	7631	12828
373	7635	12779
374	7643	12739
375	7647	12692
376	7661	12660
377	7692	12657
378	7697	12612
379	7710	12579
380	7714	12533
381	7727	12501
382	7737	12465
383	7743	12421
384	7811	12478
385	7822	12443
386	7827	12398
387	7857	12393
388	7861	12347
389	7873	12314
390	7892	12293
391	7902	12257
392	7907	12213
393	7923	12187
394	7957	12188
395	7971	12159
396	7981	12123
397	7991	12087
398	7995	12042
399	8003	12005
